Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Embarked_C,Embarked_Q
0,2,21.0,2,0,73.5,0,0,0
1,3,32.0,0,0,56.4958,0,0,0
0,1,47.0,0,0,52.0,0,0,0
0,3,17.0,0,0,8.6625,0,0,0
1,1,41.0,0,0,134.5,1,1,0
1,1,52.0,1,0,78.2667,1,1,0
1,1,44.0,0,1,57.9792,1,1,0
0,1,39.0,0,0,0.0,0,0,0
0,3,32.0,0,0,8.3625,0,0,0
1,3,17.0,4,2,7.925,1,0,0
0,3,18.0,0,0,6.75,1,0,1
0,3,19.0,0,0,7.8958,0,0,0
0,1,28.897346368715084,0,0,0.0,0,0,0
0,2,21.0,0,0,73.5,0,0,0
1,1,31.0,0,2,164.8667,1,0,0
1,1,49.0,1,0,56.9292,0,1,0
1,1,24.0,3,2,263.0,1,0,0
1,2,29.0,0,0,10.5,1,0,0
0,3,10.0,0,2,24.15,1,0,0
0,3,20.0,0,0,8.6625,0,0,0
1,3,25.0,0,0,0.0,0,0,0
1,2,17.0,0,0,10.5,1,0,0
0,1,28.897346368715084,0,0,27.7208,0,1,0
0,3,16.0,4,1,39.6875,0,0,0
0,3,43.0,0,0,6.45,0,0,0
0,3,28.897346368715084,1,0,15.5,0,0,1
1,3,28.897346368715084,0,0,7.75,0,0,1
0,3,40.5,0,2,14.5,0,0,0
0,3,21.0,0,0,7.925,0,0,0
0,3,28.0,1,1,14.4,1,0,0
0,3,28.897346368715084,1,0,14.4542,1,1,0
1,1,35.0,0,0,26.55,0,1,0
0,3,9.0,3,2,27.9,1,0,0
1,3,26.0,0,0,56.4958,0,0,0
0,3,25.0,0,0,7.25,0,0,0
0,3,42.0,0,1,8.4042,0,0,0
0,3,25.0,1,0,7.775,0,0,0
1,1,30.0,0,0,31.0,1,1,0
0,1,47.0,0,0,34.0208,0,0,0
0,2,23.0,0,0,10.5,0,0,0
0,3,30.0,0,0,7.25,0,0,0
0,1,61.0,0,0,33.5,0,0,0
1,2,40.0,1,1,39.0,1,0,0
1,1,28.0,0,0,26.55,0,0,0
1,3,35.0,1,1,20.25,1,0,0
0,2,28.897346368715084,0,0,15.05,0,1,0
0,1,64.0,0,0,26.0,0,0,0
1,1,17.0,1,0,57.0,1,0,0
0,3,17.0,1,0,7.0542,0,0,0
0,1,2.0,1,2,151.55,1,0,0
1,1,47.0,1,1,52.5542,1,0,0
0,2,31.0,0,0,10.5,0,0,0
1,1,28.897346368715084,1,0,89.1042,1,1,0
1,1,22.0,0,0,151.55,1,0,0
0,3,40.0,1,0,9.475,1,0,0
0,3,30.5,0,0,7.75,1,0,1
0,1,36.0,0,0,40.125,0,1,0
1,3,28.897346368715084,1,1,22.3583,1,1,0
0,3,30.0,0,0,7.8958,0,0,0
0,3,19.0,0,0,7.8958,0,0,0
0,3,28.897346368715084,0,0,7.8958,0,1,0
0,1,37.0,0,1,29.7,0,1,0
0,3,33.0,0,0,7.775,0,0,0
0,3,2.0,4,1,29.125,0,0,1
0,3,28.897346368715084,0,0,8.05,0,0,0
1,3,18.0,0,0,9.8417,1,0,0
1,1,18.0,1,0,227.525,1,1,0
0,3,18.0,1,0,6.4958,0,0,0
0,2,51.0,0,0,12.525,0,0,0
1,3,28.897346368715084,0,0,8.1125,0,0,0
0,2,36.0,0,0,13.0,0,0,0
1,1,56.0,0,0,35.5,0,1,0
0,2,23.0,2,1,11.5,0,0,0
0,1,58.0,0,0,29.7,0,1,0
0,3,9.0,4,2,31.3875,0,0,0
0,3,24.0,0,0,8.85,1,0,0
1,3,28.897346368715084,0,0,7.7875,1,0,1
0,3,45.0,0,0,6.975,0,0,0
1,2,24.0,0,2,14.5,1,0,0
0,3,28.0,0,0,7.8958,0,0,0
0,3,35.0,0,0,7.125,0,0,0
0,1,71.0,0,0,34.6542,0,1,0
1,2,42.0,0,0,13.0,1,0,0
0,3,28.897346368715084,0,0,7.8958,0,0,0
0,2,59.0,0,0,13.5,0,0,0
0,1,54.0,0,0,51.8625,0,0,0
1,1,54.0,1,0,78.2667,1,1,0
1,1,30.0,0,0,86.5,1,0,0
0,3,24.0,0,0,7.7958,0,0,0
0,3,28.897346368715084,0,0,7.8958,0,0,0
0,3,31.0,0,0,7.775,0,0,0
0,3,44.0,0,0,8.05,0,0,0
0,3,25.0,1,0,17.8,0,0,0
0,3,28.897346368715084,0,0,8.05,1,0,0
0,3,22.0,0,0,9.0,0,0,0
0,3,28.897346368715084,0,0,7.225,0,1,0
0,3,26.0,0,0,8.05,0,0,0
1,1,39.0,1,0,55.9,1,0,0
1,2,34.0,0,0,13.0,1,0,0
0,2,19.0,1,1,36.75,0,0,0
0,3,28.897346368715084,0,0,7.8292,0,0,1
0,1,28.897346368715084,0,0,221.7792,0,0,0
0,1,51.0,0,1,61.3792,0,1,0
0,3,16.0,0,0,7.775,0,0,0
0,3,21.0,0,0,7.7333,0,0,1
1,2,28.0,0,0,13.0,1,0,0
0,3,28.0,2,0,7.925,0,0,0
0,1,37.0,1,0,53.1,0,0,0
1,1,23.0,1,0,113.275,1,1,0
1,1,58.0,0,1,153.4625,1,0,0
0,3,28.897346368715084,0,0,8.05,1,0,0
0,3,28.0,0,0,7.7958,0,0,0
0,3,28.897346368715084,0,0,15.5,0,0,1
1,3,22.0,0,0,7.775,1,0,0
0,2,24.0,0,0,10.5,0,0,0
0,1,28.897346368715084,0,0,30.6958,0,1,0
0,3,28.897346368715084,8,2,69.55,0,0,0
1,2,50.0,0,0,10.5,1,0,0
1,1,51.0,1,0,77.9583,1,0,0
0,2,25.0,1,0,26.0,0,0,0
1,3,16.0,0,0,7.75,1,0,1
0,3,18.0,0,1,14.4542,1,1,0
0,3,23.0,0,0,7.925,1,0,0
0,3,16.0,0,0,9.2167,0,0,0
1,1,33.0,0,0,86.5,1,0,0
0,3,28.897346368715084,0,0,7.25,0,0,0
0,3,28.5,0,0,16.1,0,0,0
1,2,3.0,1,1,26.0,0,0,0
0,3,28.897346368715084,8,2,69.55,0,0,0
0,3,30.0,1,1,24.15,1,0,0
1,1,49.0,1,0,89.1042,0,1,0
0,3,18.0,0,0,8.3,0,0,0
1,2,36.0,0,0,13.0,1,0,0
0,3,7.0,4,1,29.125,0,0,1
1,2,28.897346368715084,0,0,12.35,1,0,1
0,3,34.5,0,0,6.4375,0,1,0
0,3,19.0,0,0,14.5,0,0,0
0,3,32.0,0,0,7.8958,0,0,0
0,3,28.897346368715084,0,0,8.05,0,0,0
1,1,48.0,1,0,52.0,0,0,0
1,2,29.0,1,0,26.0,1,0,0
0,3,25.0,0,0,7.7417,0,0,1
1,3,15.0,0,0,7.225,1,1,0
1,3,2.0,0,1,12.2875,1,0,0
0,3,4.0,4,1,29.125,0,0,1
0,1,64.0,1,4,263.0,0,0,0
0,3,70.5,0,0,7.75,0,0,1
0,3,14.0,0,0,7.8542,1,0,0
1,3,29.0,0,0,9.5,0,0,0
0,3,42.0,0,0,8.6625,0,0,0
1,2,17.0,0,0,12.0,1,1,0
1,2,18.0,0,2,13.0,1,0,0
0,1,52.0,1,1,79.65,0,0,0
0,3,26.0,0,0,7.8958,0,0,0
0,1,56.0,0,0,30.6958,0,1,0
0,3,28.897346368715084,1,0,19.9667,0,0,0
0,3,22.0,0,0,9.35,0,0,0
1,1,60.0,1,0,75.25,1,1,0
0,3,24.0,2,0,24.15,0,0,0
1,1,0.92,1,2,151.55,0,0,0
1,3,28.897346368715084,0,0,7.8792,1,0,1
0,3,28.897346368715084,0,0,7.3125,0,0,0
0,1,28.897346368715084,0,0,50.0,0,0,0
1,2,24.0,0,0,13.0,1,0,0
0,3,41.0,0,5,39.6875,1,0,0
1,3,23.0,0,0,7.55,1,0,0
0,3,28.897346368715084,0,0,6.8583,0,0,1
0,3,59.0,0,0,7.25,0,0,0
1,3,32.0,0,0,8.05,0,0,0
1,1,38.0,0,0,80.0,1,0,0
0,3,9.0,4,2,31.275,1,0,0
1,3,21.0,0,0,7.65,1,0,0
0,1,29.0,1,0,66.6,0,0,0
1,1,35.0,1,0,52.0,1,0,0
0,3,33.0,0,0,8.6625,0,1,0
0,3,26.0,1,0,14.4542,0,1,0
1,2,24.0,1,0,26.0,1,0,0
0,3,15.0,1,1,7.2292,0,1,0
0,3,16.0,0,0,8.05,0,0,0
0,3,33.0,0,0,7.8958,0,1,0
0,3,22.0,0,0,7.7958,0,0,0
0,3,9.0,5,2,46.9,0,0,0
1,3,29.0,0,0,7.8958,0,1,0
0,3,14.5,1,0,14.4542,1,1,0
1,2,3.0,1,2,41.5792,1,1,0
0,3,38.0,0,0,7.8958,0,0,0
0,1,50.0,1,0,106.425,0,1,0
0,2,28.897346368715084,0,0,0.0,0,0,0
0,3,23.0,0,0,7.8958,0,0,0
1,1,19.0,0,2,26.2833,1,0,0
0,3,22.0,0,0,7.8958,0,0,0
0,2,35.0,0,0,26.0,0,0,0
1,1,62.0,0,0,80.0,1,0,0
0,3,28.897346368715084,0,0,7.225,0,1,0
1,2,22.0,1,2,41.5792,1,1,0
0,3,16.0,0,0,9.5,0,0,0
0,3,37.0,0,0,9.5875,1,0,0
0,3,50.0,0,0,8.05,0,0,0
0,3,19.0,0,0,10.1708,0,0,0
0,3,28.897346368715084,0,0,7.225,0,1,0
0,3,35.0,0,0,7.05,0,0,0
0,3,33.0,0,0,7.8958,0,0,0
0,3,28.897346368715084,0,0,7.7333,0,0,1
0,3,28.897346368715084,0,0,14.4583,0,1,0
1,1,38.0,1,0,71.2833,1,1,0
1,1,28.897346368715084,1,0,51.8625,1,0,0
0,3,6.0,4,2,31.275,1,0,0
1,1,28.897346368715084,1,0,133.65,1,0,0
1,2,25.0,0,1,26.0,1,0,0
0,2,23.0,0,0,13.0,0,0,0
0,3,28.897346368715084,0,0,7.75,1,0,1
0,1,28.0,1,0,82.1708,0,1,0
1,3,21.0,0,0,7.7958,0,0,0
1,1,28.897346368715084,1,0,82.1708,1,1,0
1,3,28.897346368715084,0,0,7.2292,1,1,0
1,1,11.0,1,2,120.0,0,0,0
0,3,18.0,1,1,7.8542,0,0,0
0,2,21.0,1,0,11.5,0,0,0
1,3,28.897346368715084,0,0,7.8792,1,0,1
1,3,19.0,0,0,8.05,0,0,0
0,1,28.0,0,0,47.1,0,0,0
0,3,28.897346368715084,0,0,7.8958,0,1,0
1,2,36.0,1,0,26.0,1,0,0
0,3,27.0,0,0,7.8958,0,0,0
1,3,28.897346368715084,0,2,22.3583,1,1,0
0,3,65.0,0,0,7.75,0,0,1
1,2,28.897346368715084,0,0,33.0,1,0,0
1,1,36.0,1,2,120.0,0,0,0
0,2,24.0,0,0,13.0,0,0,0
0,3,17.0,1,1,7.2292,0,1,0
1,2,32.0,1,0,26.0,0,0,0
1,2,21.0,0,0,10.5,1,0,0
1,2,19.0,1,0,26.0,1,0,0
0,3,28.897346368715084,0,0,8.05,0,0,0
1,1,19.0,1,0,91.0792,1,1,0
1,2,24.0,1,2,65.0,1,0,0
0,3,8.0,4,1,29.125,0,0,1
0,3,25.0,0,0,7.8958,0,0,0
1,3,36.0,1,0,17.4,1,0,0
0,3,18.0,0,0,7.7958,0,0,0
0,3,28.0,1,0,15.85,0,0,0
0,3,32.0,1,0,15.85,0,0,0
1,1,42.0,0,0,26.2875,0,0,0
0,3,38.0,0,0,7.05,0,0,0
0,3,2.0,0,1,10.4625,1,0,0
0,1,30.0,0,0,27.75,0,1,0
1,3,0.75,2,1,19.2583,1,1,0
0,2,44.0,1,0,26.0,1,0,0
0,3,22.0,0,0,7.5208,0,0,0
1,2,18.0,0,1,23.0,1,0,0
0,3,25.0,0,0,7.05,0,0,0
1,2,3.0,1,1,18.75,0,0,0
1,3,31.0,1,1,20.525,1,0,0
0,2,18.0,0,0,11.5,0,0,0
1,1,28.897346368715084,0,0,35.5,0,0,0
0,2,19.0,0,0,10.5,0,0,0
0,3,26.0,1,0,7.8542,0,0,0
1,3,26.0,0,0,7.925,1,0,0
1,3,1.0,0,2,15.7417,1,1,0
0,3,19.0,0,0,8.1583,0,0,0
0,3,28.897346368715084,0,0,7.75,0,0,1
0,2,28.0,0,0,13.0,0,0,0
0,1,38.0,0,0,0.0,0,0,0
0,3,28.897346368715084,0,0,7.8958,0,0,0
1,1,51.0,0,0,26.55,0,0,0
0,3,22.0,0,0,8.05,0,0,0
0,3,21.0,0,0,7.775,0,0,0
0,3,28.897346368715084,8,2,69.55,1,0,0
0,3,28.897346368715084,0,0,8.4583,0,0,1
0,2,23.0,0,0,13.0,0,0,0
1,2,4.0,1,1,23.0,1,0,0
1,2,24.0,2,3,18.75,1,0,0
1,3,3.0,4,2,31.3875,0,0,0
0,3,22.0,0,0,10.5167,1,0,0
1,1,4.0,0,2,81.8583,0,0,0
0,3,20.0,0,0,9.8458,0,0,0
1,3,27.0,0,0,7.925,1,0,0
1,3,4.0,1,1,11.1333,0,0,0
0,3,40.0,0,0,7.225,0,1,0
1,3,31.0,0,0,7.925,0,0,0
0,3,24.0,0,0,7.4958,0,0,0
0,2,27.0,1,0,21.0,1,0,0
0,3,44.0,0,0,8.05,0,0,0
0,1,24.0,0,0,79.2,0,1,0
0,3,19.0,0,0,7.775,0,0,0
1,1,24.0,0,0,49.5042,1,1,0
0,1,70.0,1,1,71.0,0,0,0
0,3,28.897346368715084,1,0,24.15,0,0,1
1,3,20.0,0,0,7.2292,0,1,0
1,3,28.897346368715084,0,0,7.75,1,0,1
1,3,44.0,0,0,7.925,0,0,0
0,3,36.0,0,0,7.4958,0,0,0
0,3,28.897346368715084,0,0,7.775,0,0,0
1,1,33.0,1,0,53.1,1,0,0
1,1,35.0,1,0,83.475,1,0,0
0,3,19.0,0,0,0.0,0,0,0
1,3,9.0,0,2,20.525,0,0,0
1,2,25.0,1,1,30.0,1,0,0
1,1,35.0,0,0,135.6333,1,0,0
0,3,2.0,4,1,39.6875,0,0,0
0,3,28.897346368715084,0,0,6.95,0,0,1
0,2,24.0,2,0,73.5,0,0,0
0,3,21.0,1,0,9.825,1,0,0
1,1,17.0,0,2,110.8833,0,1,0
